IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
MAR,La Chinita International Airport,Maracaibo,Zulia,VE,10.55821,-71.72786
MRD,Alberto Carnevalli Airport,Merida,Merida,VE,8.58208,-71.16104
PMV,Del Caribe Santiago Marino International Airport,Isla Margarita,Nueva-Esparta,VE,10.9126,-63.9666
CCS,Maiquetia (Simon Bolivar Internacional) Airport,Caracas,Vargas,VE,10.60312,-66.99059
MUN,Maturin Airport,,Anzoategui,VE,9.75453,-63.1474
CBS,Oro Negro Airport,Cabimas,Zulia,VE,10.3307,-71.3225
PYH,Cacique Aramare Airport,,Amazonas,VE,5.61999,-67.6061
PBL,General Bartolome Salom International Airport,,Carabobo,VE,10.4805,-68.073
PDZ,Pedernales Airport,,Delta-Amacuro,VE,9.97924,-62.2286
PPH,Perai Tepuy Airport,,Bolivar,VE,4.56667,-61.48333
SCI,Paramillo Airport,,Tachira,VE,7.80132,-72.2029
PZO,General Manuel Carlos Piar International Airport,Puerto Ordaz-Ciudad Guayana,Bolivar,VE,8.28853,-62.7604
PTM,Palmarito Airport,Palmarito,Apure,VE,7.56667,-70.1833
LRV,Gran Roque Airport,Los Roques,Dependencias-Federales,VE,11.95,-66.67
SVZ,San Antonio Del Tachira Airport,,Tachira,VE,7.84083,-72.4397
SBB,Santa Barbara de Barinas Airport,Santa Barbara,Barinas,VE,7.80351,-71.16572
SNV,Santa Elena de Uairen Airport,,Bolivar,VE,4.555,-61.15
STD,Mayor Buenaventura Vivas International Airport,Santo Domingo,Tachira,VE,7.56538,-72.0351
SNF,Sub Teniente Nestor Arias Airport,San Felipe,Yaracuy,VE,10.2787,-68.7552
SFD,San Fernando De Apure Airport,Inglaterra,Apure,VE,7.88332,-67.444
SOM,San Tome Airport,,Anzoategui,VE,8.94515,-64.15108
STB,Santa Barbara del Zulia Airport,,Zulia,VE,8.97455,-71.94325
TUV,Tucupita Airport,Tucupita,Delta-Amacuro,VE,9.08899,-62.09417
TMO,Tumeremo Airport,,Bolivar,VE,7.25,-61.43333
URM,Uriman Airport,,Bolivar,VE,5.33333,-62.76667
VLN,Arturo Michelena International Airport,Valencia,Carabobo,VE,10.14973,-67.9284
VIG,Juan Pablo Perez Alfonso Airport,El Vigia,Merida,VE,8.62414,-71.67267
VLV,Dr. Antonio Nicolas Briceno Airport,Valera,Trujillo,VE,9.34048,-70.58406
VDP,Valle de La Pascua Airport,,Guarico,VE,9.22203,-65.99358
BAZ,Barcelos Airport,Barcelos,Amazonas,BR,-0.98129,-62.9196
RBB,Borba Airport,Borba,Amazonas,BR,-4.40634,-59.6024
CAF,Carauari Airport,Carauari,Amazonas,BR,-4.87152,-66.8975
CQS,Costa Marques Airport,Costa Marques,Rondônia,BR,-12.4211,-64.2516
DMT,Diamantino Airport,Diamantino,Mato Grosso do Sul,BR,-14.3769,-56.4004
DNO,Dianopolis Airport,Dianopolis,Tocantins,BR,-11.5954,-46.8467
ARS,Estancia das Cascatas Airport,Aragarcas,Goiás,BR,-15.8967,-52.0956
ERN,Eirunepe Airport,Eirunepe,Amazonas,BR,-6.63953,-69.8798
CQA,Canarana Airport,Canarana,Mato Grosso do Sul,BR,-13.57444,-52.27056
SXO,Sao Felix do Araguaia Airport,Sao Felix Do Araguaia,Mato Grosso do Sul,BR,-11.6324,-50.6896
GRP,Gurupi Airport,Gurupi,Tocantins,BR,-11.7396,-49.1322
AUX,Araguaina Airport,Araguaina,Tocantins,BR,-7.22787,-48.2405
GGB,Fazenda Olhos D`agua Airport,Agua Boa,Mato Grosso do Sul,BR,-14.01944,-52.15222
HUW,Humaita Airport,Humaita,Amazonas,BR,-7.53212,-63.0721
IPG,Ipiranga Airport,Santo Antonio Do Ica,Amazonas,BR,-2.93907,-69.694
IDO,Santa Izabel do Morro Airport,Cristalandia,Tocantins,BR,-11.5723,-50.6662
JPR,Ji-Parana Airport,Ji-Parana,Rondônia,BR,-10.8708,-61.8465
JIA,Juina Airport,Juina,Mato Grosso do Sul,BR,-11.41944,-58.70167
JRN,Juruena Airport,Juruena,Mato Grosso do Sul,BR,-10.30583,-58.48944
JTI,Jatai Airport,Jatai,Goiás,BR,-17.8299,-51.773
CCX,Caceres Airport,Caceres,Mato Grosso do Sul,BR,-16.0436,-57.6299
CIZ,Coari Airport,Coari,Amazonas,BR,-4.13406,-63.1326
NSR,Serra da Capivara Airport,Sao Raimundo Nonato,Piauí,BR,-9.08278,-42.64444
TLZ,Catalao Airport,Catalao,Goiás,BR,-18.2168,-47.8997
LBR,Labrea Airport,Labrea,Amazonas,BR,-7.27897,-64.7695
RVD,General Leite de Castro Airport,Rio Verde,Goiás,BR,-17.83472,-50.95611
MBZ,Maues Airport,Maues,Amazonas,BR,-3.37217,-57.7248
NVP,Novo Aripuana Airport,Novo Aripuana,Amazonas,BR,-5.11803,-60.3649
AQM,Nova Vida Airport,Ariquemes,Rondônia,BR,-10.17806,-62.82556
BCR,Novo Campo Airport,Boca Do Acre,Amazonas,BR,-8.83456,-67.3124
NQL,Niquelandia Airport,Niquelandia,Goiás,BR,-14.4349,-48.4915
APS,Anapolis Airport,Anapolis,Goiás,BR,-16.3623,-48.9271
FBA,Fonte Boa Airport,Fonte Boa,Amazonas,BR,-2.53261,-66.0832
PBV,Porto dos Gauchos Airport,Porto Dos Gauchos,Mato Grosso do Sul,BR,-11.51694,-57.33389
PIN,Parintins Airport,Parintins,Amazonas,BR,-2.67302,-56.7772
PBQ,Pimenta Bueno Airport,Pimenta Bueno,,BR,-11.6416,-61.1791
PBX,Fazenda Piraguassu Airport,Porto Alegre Do Norte,Mato Grosso do Sul,BR,-10.86111,-51.685
AAI,Arraias Airport,Arraias,Tocantins,BR,-13.02389,-46.88556
ROO,Rondonopolis Airport,Rondonopolis,Mato Grosso do Sul,BR,-16.586,-54.7248
OPS,Presidente Joao Batista Figueiredo Airport,Sinop,Mato Grosso do Sul,BR,-11.885,-55.58611
STZ,Santa Terezinha Airport,Santa Terezinha,Tocantins,BR,-10.46472,-50.51861
IRZ,Tapuruquara Airport,Santa Isabel Do Rio Negro,Amazonas,BR,-0.41694,-65.03389
TGQ,Tangara da Serra Airport,Tangara Da Serra,Mato Grosso do Sul,BR,-14.662,-57.4435
AZL,Fazenda Tucunare Airport,Sapezal,Mato Grosso do Sul,BR,-13.46553,-58.86693
QHN,Taguatinga Airport,Taguatinga,Tocantins,BR,-12.43389,-46.40055
